date,source,destination,distance_km,congestion_index,time_of_day,weather,day_of_week,festival,actual_travel_time_min,road_type
24-04-2022,Mohammad Ali Road,Powai,30.9,0.71,13:16,Clear,Sunday,,88.8,urban
03-06-2023,Marine Lines,Vashi,30.98,0.72,00:42,Clear,Saturday,,88.3,urban
15-08-2024,Andheri,Thane,23.72,0.83,05:51,Clear,Thursday,Independence Day,78.2,urban
14-03-2023,Airoli,Bandra Kurla Complex,28.66,0.87,12:10,Cloudy,Tuesday,,231.9,congested
12-04-2022,Ghatkopar,Chembur,2.1,0.96,02:02,Rain,Tuesday,,22.3,congested
27-10-2024,Byculla,Eastern Freeway Start,12.02,0.92,18:42,Clear,Sunday,,118.9,congested
24-10-2022,Kalyan,Mulund,27.44,0.92,01:17,Cloudy,Monday,Diwali,211.6,congested
04-09-2022,Western Express Highway,Bandra Kurla Complex,3.27,0.89,11:47,Rain,Sunday,,32.6,congested
01-07-2024,Dombivli,Girgaon,47.62,0.35,02:02,Rain,Monday,,57.4,freeway
06-09-2023,Lalbaug,Bandra,9.32,0.98,13:19,Rain,Wednesday,Janmashtami,138.3,congested
10-10-2022,Ghatkopar,Marine Lines,19.37,0.77,15:08,Clear,Monday,,68.8,urban
23-01-2022,Juhu,Eastern Freeway Start,10.66,0.82,06:54,Fog,Sunday,,40.5,urban
23-04-2022,Sion,Mohammad Ali Road,11.22,0.8,14:37,Clear,Saturday,,31.3,urban
20-08-2022,Fort,Andheri,29.2,0.48,19:28,Clear,Saturday,,38.4,freeway
28-06-2022,Goregaon,Chembur,14.81,1,05:14,Clear,Tuesday,,64.4,urban
20-07-2024,Girgaon,Mulund,34.14,0.47,08:21,Cloudy,Saturday,,44.7,freeway
12-11-2023,Kurla,Lalbaug,11.92,0.35,03:00,Cloudy,Sunday,Diwali,12.4,freeway
26-11-2023,Powai,Ghatkopar,6.28,0.75,07:18,Cloudy,Sunday,,22.4,urban
28-09-2022,Vashi,Worli,32.03,0.25,05:46,Clear,Wednesday,,31.1,freeway
30-07-2024,Panvel,Kurla,32.41,0.76,13:59,Rain,Tuesday,,119.2,urban
07-03-2023,Nerul,Borivali,37.91,0.88,13:46,Clear,Tuesday,,287.9,congested
03-10-2024,Belapur,Andheri,26.47,0.3,16:23,Clear,Thursday,Navratri,27.1,freeway
16-03-2023,Colaba,CST,5.12,0.85,17:30,Cloudy,Thursday,,25.4,urban
08-05-2023,Fort,CST,0.94,0.78,23:07,Clear,Monday,,3.4,urban
24-08-2024,Colaba,Eastern Freeway Start,29.35,0.57,02:48,Rain,Saturday,,44.5,freeway
13-10-2023,Sion,Goregaon,19.77,0.91,04:50,Clear,Friday,,149.2,congested
02-04-2022,Bhandup,Airoli,5.86,0.84,14:19,Clear,Saturday,Gudi Padwa,19.5,urban
29-10-2022,Mulund,Kurla,17,0.97,18:35,Clear,Saturday,,203.2,congested
14-10-2022,Marine Lines,Nerul,35.29,0.83,21:57,Clear,Friday,,110.2,urban
22-11-2023,Colaba,CST,5.47,1,20:34,Cloudy,Wednesday,,65.2,congested
06-09-2023,Panvel,Bhandup,31.48,0.74,13:38,Cloudy,Wednesday,Janmashtami,91.2,urban
21-03-2024,Malad,Mohammad Ali Road,28.08,0.94,00:12,Clear,Thursday,,159.8,urban
29-06-2024,Panvel,Matunga,33.29,0.52,03:49,Rain,Saturday,,45.4,freeway
19-11-2022,Belapur,Chembur,16.48,0.76,16:46,Clear,Saturday,,53.5,urban
06-01-2023,Bhandup,Powai,7.08,0.28,22:35,Clear,Friday,,7.1,freeway
15-10-2023,Bandra,Ghatkopar,10.58,1,13:28,Storm,Sunday,Navratri,81.8,congested
22-12-2023,Belapur,Kalyan,38.3,0.85,15:06,Fog,Friday,,149.8,urban
06-09-2023,Malad,Worli,23.85,0.92,03:09,Heavy Rain,Wednesday,Janmashtami,357.8,congested
08-04-2022,Western Express Highway,Sion,6.92,1,21:48,Clear,Friday,,31.4,urban
29-11-2023,Girgaon,Bhandup,32.56,0.27,05:16,Clear,Wednesday,,33.9,freeway
08-02-2023,Girgaon,CST,2.25,0.94,09:13,Clear,Wednesday,,26.8,congested
07-09-2024,Ghatkopar,CST,21.11,0.44,21:47,Clear,Saturday,Ganesh Chaturthi,27.2,freeway
06-01-2022,Bandra,Nerul,27.36,0.54,16:26,Rain,Thursday,,41.5,freeway
15-08-2023,Belapur,Chembur,18.76,0.82,13:27,Rain,Tuesday,Independence Day,81.5,urban
24-04-2023,Nerul,Bandra Kurla Complex,24.62,0.85,10:29,Clear,Monday,,121.2,urban
19-09-2023,Panvel,Borivali,54.26,0.47,03:49,Rain,Tuesday,Ganesh Chaturthi,74.3,freeway
07-05-2023,Kalyan,Andheri,50.28,0.38,00:42,Cloudy,Sunday,,55.4,freeway
15-08-2024,Bandra Kurla Complex,Fort,17.78,1,09:03,Heavy Rain,Thursday,Independence Day,261.7,congested
22-03-2023,Matunga,Borivali,33.66,0.57,14:08,Cloudy,Wednesday,Gudi Padwa,59.7,freeway
23-03-2023,Byculla,Matunga,3.63,0.85,00:45,Rain,Thursday,Ramadan Evenings,14.7,urban
29-08-2023,Western Express Highway,Powai,12.02,1,14:27,Rain,Tuesday,,74.3,urban
18-01-2023,Vashi,Dombivli,12.27,0.79,03:02,Clear,Wednesday,,35.5,urban
25-12-2022,Borivali,Goregaon,12.08,0.81,06:31,Clear,Sunday,,36.2,urban
06-11-2022,Malad,Dadar,19.66,0.96,08:02,Cloudy,Sunday,,263.3,congested
05-09-2024,Eastern Freeway Start,Colaba,29.24,1,20:45,Rain,Thursday,,336.7,urban
17-07-2022,Borivali,Goregaon,10.03,0.8,15:12,Rain,Sunday,,38.8,urban
07-09-2024,Mohammad Ali Road,Girgaon,1.05,1,00:41,Heavy Rain,Saturday,Ganesh Chaturthi,8.6,urban
05-12-2023,Dadar,Andheri,14.22,0.89,05:11,Clear,Tuesday,,114.2,congested
13-10-2023,Borivali,Airoli,26.1,0.44,02:38,Clear,Friday,,46.2,freeway
20-11-2023,Fort,Nerul,28.46,0.93,22:22,Clear,Monday,,280.9,congested
02-05-2022,Mulund,Bandra Kurla Complex,23.67,0.8,10:05,Clear,Monday,Eid,104.5,urban
05-12-2024,Fort,Borivali,51.31,0.76,06:27,Clear,Thursday,,144.3,urban
08-06-2023,Airoli,Girgaon,44.67,0.79,18:05,Heavy Rain,Thursday,,126.6,freeway
19-09-2023,Mulund,Matunga,29.6,0.81,12:34,Cloudy,Tuesday,Ganesh Chaturthi,89.7,urban
25-12-2023,Mulund,Matunga,24.88,1,07:03,Clear,Monday,Christmas/NewYear,276.4,congested
21-12-2024,Lalbaug,Worli,3.14,0.81,12:09,Clear,Saturday,,9,urban
25-12-2024,Airoli,Fort,46.73,0.74,09:42,Heavy Rain,Wednesday,Christmas/NewYear,91.3,freeway
20-10-2024,Sion,Worli,10.28,0.77,06:45,Cloudy,Sunday,,29,urban
10-11-2022,CST,Marine Lines,3.32,0.23,03:23,Clear,Thursday,,3.2,freeway
07-09-2024,Chembur,Bandra Kurla Complex,9.92,0.93,22:54,Heavy Rain,Saturday,Ganesh Chaturthi,47.7,urban
14-09-2023,Panvel,Malad,38.77,0.52,17:05,Rain,Thursday,,64.3,freeway
25-03-2024,Chembur,Western Express Highway,10.45,0.81,09:06,Clear,Monday,Holi,49.8,urban
03-04-2022,Dadar,Marine Lines,11.94,0.57,08:20,Storm,Sunday,Ramadan Evenings,21.1,freeway
26-08-2024,Panvel,Crawford Market,36.16,0.38,00:08,Storm,Monday,Janmashtami,49.9,freeway
25-12-2024,Sion,Kalyan,48.02,0.76,08:06,Storm,Wednesday,Christmas/NewYear,108.2,freeway
21-06-2024,Sion,Kurla,5.16,0.94,16:08,Rain,Friday,,60.3,congested
08-03-2023,Bandra Kurla Complex,Fort,17.99,0.92,20:36,Clear,Wednesday,Holi,87.3,urban
26-07-2023,Panvel,Kurla,39.54,0.5,12:10,Heavy Rain,Wednesday,,64.3,freeway
16-10-2024,Lalbaug,Nerul,26.44,0.3,23:20,Clear,Wednesday,,26,freeway
26-10-2022,Powai,Chembur,8.04,0.95,01:11,Clear,Wednesday,Navratri,60,congested
20-03-2023,Mulund,Byculla,34.65,0.95,14:37,Clear,Monday,,324.4,congested
18-03-2022,Malad,Chembur,16.19,0.98,05:01,Clear,Friday,Holi,136.9,congested
21-01-2023,Fort,CST,1.03,0.95,06:27,Fog,Saturday,,10.6,congested
25-12-2024,Belapur,Bhandup,21.74,1,07:11,Storm,Wednesday,Christmas/NewYear,247.6,congested
04-06-2024,Girgaon,CST,2.26,0.72,22:48,Clear,Tuesday,,6.4,urban
13-05-2024,Dombivli,Kurla,30.38,0.42,06:40,Clear,Monday,,36.6,freeway
12-11-2023,Panvel,Mulund,37.76,0.62,21:26,Storm,Sunday,Diwali,56.4,freeway
11-04-2024,Colaba,Girgaon,5.46,0.42,14:25,Heavy Rain,Thursday,Gudi Padwa,7.9,freeway
22-02-2024,Bandra Kurla Complex,Lalbaug,10.8,0.77,03:37,Cloudy,Thursday,,30.7,urban
18-03-2022,Byculla,Goregaon,26.71,0.71,15:38,Clear,Friday,,77.1,urban
28-01-2022,Marine Lines,Ghatkopar,22.16,0.96,05:19,Clear,Friday,,174.5,congested
13-02-2023,Chembur,Dadar,9.3,0.83,20:17,Clear,Monday,,47.8,urban
06-03-2022,Matunga,Goregaon,21.48,0.81,05:21,Clear,Sunday,,65.5,urban
21-04-2023,Western Express Highway,Borivali,24.37,0.78,20:28,Clear,Friday,Eid,98.6,urban
25-03-2024,Borivali,Kurla,20.82,0.63,01:45,Heavy Rain,Monday,Holi,40.2,freeway
28-09-2023,Bhandup,Kalyan,30.1,0.82,04:57,Heavy Rain,Thursday,,131.1,freeway
10-02-2024,Mohammad Ali Road,Colaba,6.97,0.86,09:36,Cloudy,Saturday,,31.3,urban
28-02-2023,Lalbaug,Panvel,34.5,0.81,07:57,Cloudy,Tuesday,,143.2,urban
28-10-2024,Vashi,Crawford Market,27.98,0.49,09:22,Cloudy,Monday,,40,freeway
02-09-2023,Thane,CST,45.36,0.88,22:46,Rain,Saturday,,195.4,urban
18-03-2022,Dadar,Ghatkopar,11.34,0.92,13:43,Clear,Friday,Holi,84.1,congested
02-03-2024,Chembur,Western Express Highway,8.14,0.76,17:10,Clear,Saturday,,28.8,urban
19-06-2023,Panvel,Bhandup,30.4,0.95,10:06,Rain,Monday,,456,congested
24-06-2022,Thane,Dadar,38.96,0.55,11:57,Heavy Rain,Friday,,65.1,freeway
11-07-2022,Mulund,Juhu,19.28,0.9,08:33,Rain,Monday,,155.7,urban
15-10-2023,Ghatkopar,Andheri,11.41,0.98,11:04,Cloudy,Sunday,Navratri,88.4,congested
22-03-2023,Bhandup,Bandra,18.24,0.95,11:13,Clear,Wednesday,Gudi Padwa,170.7,congested
14-11-2023,Colaba,Eastern Freeway Start,26.36,0.74,01:24,Clear,Tuesday,,75.2,urban
16-03-2023,Fort,Juhu,21.62,0.9,16:46,Clear,Thursday,,156.4,congested
03-04-2022,Eastern Freeway Start,Bhandup,13.66,0.82,05:58,Clear,Sunday,Ramadan Evenings,40.1,urban
25-01-2023,Dombivli,Dadar,35.03,0.43,20:26,Clear,Wednesday,,48.9,freeway
29-04-2023,Colaba,Bandra Kurla Complex,24.89,0.95,16:45,Rain,Saturday,,291.6,congested
05-05-2022,Nerul,Sion,22.44,0.83,16:36,Cloudy,Thursday,,67.1,urban
02-05-2022,Girgaon,Vashi,33.53,0.88,02:33,Clear,Monday,Eid,128.2,urban
29-09-2023,Marine Lines,Dombivli,47.19,0.96,00:39,Rain,Friday,,444.7,congested
05-07-2023,Belapur,Juhu,31.47,0.85,12:58,Rain,Wednesday,,110.5,urban
07-08-2022,Worli,Matunga,6.69,0.88,18:28,Cloudy,Sunday,,32.4,urban
25-03-2024,Western Express Highway,Matunga,8.47,0.3,23:00,Cloudy,Monday,Holi,9.2,freeway
11-03-2024,Airoli,Bandra Kurla Complex,23,0.94,23:37,Clear,Monday,Ramadan Evenings,211.1,congested
05-08-2024,Vashi,Western Express Highway,25.55,0.66,10:02,Rain,Monday,,56.1,freeway
20-10-2024,Panvel,Thane,41.74,0.77,13:42,Clear,Sunday,,118,urban
03-11-2024,Bandra,Mohammad Ali Road,14.43,0.86,09:29,Rain,Sunday,,90.3,urban
26-01-2022,Ghatkopar,Kalyan,36.51,0.82,13:11,Cloudy,Wednesday,,113.1,urban
20-02-2024,Lalbaug,Matunga,5.6,0.78,22:40,Cloudy,Tuesday,,16.9,urban
09-10-2023,Nerul,Lalbaug,29.95,0.76,22:30,Cloudy,Monday,,110.4,urban
29-03-2024,Airoli,Marine Lines,47.33,0.92,09:36,Cloudy,Friday,,466.7,congested
21-08-2023,Andheri,Colaba,26.71,0.56,10:13,Cloudy,Monday,,43.7,freeway
