time_of_day,day_of_week,weather,ors_time,congestion_index,actual_travel_time,distance_km,congestion_index
Evening Peak,Monday,Rainy,42.13,1.25,61.58,30.9,0.71
Night,Monday,Stormy,23.76,0.84,26.05,30.98,0.72
Morning Peak,Monday,Rainy,35.36,1.71,67.91,23.72,0.83
Evening Peak,Friday,Cloudy,49.31,1.57,77.29,28.66,0.87
Evening Peak,Wednesday,Clear,54.09,1.51,81.73,2.1,0.96
Night,Wednesday,Cloudy,51.93,1.09,56.76,12.02,0.92
Morning Peak,Sunday,Clear,39.11,1.41,55.07,27.44,0.92
Morning Peak,Sunday,Rainy,22.44,1.37,36.57,3.27,0.89
Evening Peak,Monday,Clear,43.06,1.41,60.64,47.62,0.35
Midday,Sunday,Clear,45.5,1.25,56.81,9.32,0.98
Evening Peak,Friday,Clear,10.53,1.22,12.81,19.37,0.77
Evening Peak,Wednesday,Clear,31.96,1.6,51.08,10.66,0.82
Evening Peak,Saturday,Cloudy,52.16,1.44,75.16,11.22,0.8
Evening Peak,Wednesday,Clear,34.48,1.59,54.88,29.2,0.48
Night,Wednesday,Cloudy,25.57,0.91,23.26,14.81,1.0
Morning Peak,Friday,Clear,53.59,1.53,81.94,34.14,0.47
Night,Sunday,Cloudy,17.79,1.03,18.25,11.92,0.35
Night,Saturday,Clear,20.32,1.04,21.09,6.28,0.75
Night,Friday,Clear,44.37,0.87,38.6,32.03,0.25
Evening Peak,Monday,Cloudy,27.62,1.57,43.42,32.41,0.76
Midday,Thursday,Clear,45.65,1.26,57.53,37.91,0.88
Morning Peak,Wednesday,Clear,17.89,1.31,23.41,26.47,0.3
Midday,Thursday,Clear,22.61,1.04,23.49,5.12,0.85
Night,Friday,Clear,17.83,0.95,16.92,0.94,0.78
Night,Friday,Cloudy,57.65,0.94,54.09,29.35,0.57
Midday,Friday,Clear,30.27,1.21,36.7,19.77,0.91
Midday,Thursday,Cloudy,26.86,1.03,27.58,5.86,0.84
Midday,Friday,Rainy,10.71,1.19,16.15,17.0,0.97
Night,Monday,Clear,17.67,0.98,17.4,35.29,0.83
Night,Friday,Stormy,31.06,0.87,41.4,5.47,1.0
Morning Peak,Tuesday,Cloudy,13.43,1.57,21.09,31.48,0.74
Morning Peak,Sunday,Cloudy,35.54,1.41,50.15,28.08,0.94
Night,Thursday,Cloudy,32.75,0.84,27.64,33.29,0.52
Midday,Tuesday,Cloudy,48.36,1.17,56.67,16.48,0.76
Midday,Friday,Cloudy,42.99,1.29,55.6,7.08,0.28
Morning Peak,Monday,Clear,32.3,1.42,45.81,10.58,1.0
